Question,Answer
نمیتونم مبلغ ۱۰۰ تومن پایا کنم راهنمایی کنید,سلام وقتتون بخیر پیش فرض انتقال وجه بین بانکی و عادی در همراه نوین و اینترنت بانک 15 میلیون تومان است برای افزایش سقف خود لطفا به یکی از شعب مراجعه فرمایید.
امکانش هست که من حسابی که به علت عدم استفاده غیر فعال شده رو دوباره فعال کنم؟,سلام وقتتون بخیر وضعیت حساب شما ابتدا باید بررسی شود به همین جهت لطفا با شماره 02148031000 تماس بگیرید و چنانچه وضعیت سپرده راکد باشد جهت فعالسازی میبایست به یکی از شعب بانک مراجعه فرمایید همچنین اگر سپرده شما سپرده جاری میباشد جهت فعالسازی میبایست الزاما به شعبه افتتاح کننده سپرده مراجعه فرمایید.
سلام خواستم ببینم از اپلیکیشن میتونم پیامک فعال کنم یا باید برم شعب بانک ؟؟,سلام وقتتون بخیر برای فعالسازی سرویس پیام کوتاه لطفا به یکی از شعب مراجعه فرمایید. از اینترنت بانک در قسمت تنظیمات نیز می توانید سرویس پیامکی را فعال کنید.
سلام رمز رو اشتباه زدم ورودم مسدود شده چه کاری باید انجام بدم؟,سلام وقتتون بخیر اگر گزینه بازیابی را مشاهده نمیکنید لطفا ابتدا آخرین نسخه همراه نوین را نصب فرمایید در صفحه اول گزینه فعالسازی/بازیابی قابل مشاهده است. همراه بانک را بازیابی کنید یا صبر فرمایید تا با سپری شدن 24 ساعت کامل از زمان مسدودی به صورت خودکار رفع مسدودی انجام شود.
ببخشید من یه کد شارژ خریدم ولی یهو از برنامه خارج شدم بعد الان کد شارژ و از کجا میتونم ببینم که استفاده کنم؟,سلام وقتتون بخیر پس از ورود به همراه نوین در قسمت تنظیمات نرم افزار اولین گزینه سوابق تراکنش را انتخاب فرمایید سپس تراکنش مورد نظر را انتخاب کنید کد شارژ با رنگ قرمز بالای رسید درج شده است.
موقع پرداخت آنلاین برام اس ام اس رمز پویا اومد ولی اشتباه وارد کردم بعد از اون دیگه برام رمز ارسال نمیشه و فقط یه اس ام اس برام اومد که رمز دوم ثابت تغییر کرد ممکنه چک کنید برام؟,سلام وقتتون بخیر زمانی که رمز دوم ثابت یا رمز پویا سه مرتبه اشتباه وارد شود وضعیت رمز دوم کارت از فعال به مسدود موقت تغییر میکند و دیگر رمز پویا ارسال نمیشود و پیام مسدود یا منقضی بودن کارت را دریافت میفرمایید. جهت رفع مسدودی، پس از 2 ساعت با رمز دوم ثابت کارت خود تراکنشی با مبلغ زیر صد هزارتومان انجام دهید و یا چنانچه رمز دوم خود را نیز فراموش کرده اید از خودپرداز های اقتصادنوین رمز اینترنتی جدید تعریف بفرمایید.
از کجای نرم افزار میتونم انتقال به شبای سایر بانک ها بزنم؟,سلام وقتتون بخیر زمانی که با نام کاربری و رمز وارد همراه نوین شوید با انتخاب گزینه انتقال وجه بین بانکی، سه گزینه پایا و ساتنا و آنی{پل} قابل مشاهده میباشد که با توجه به درخواست شما میتوانید از هر یک از این خدمات بهره مند شوید.
سقف مبلغی که روزانه میتونم انتقال بدم چقدر میباشد؟,سلام وقتتون بخیر به صورت پیشفرض در هر 24 ساعت سقف انتقال وجه از حساب 15 میلیون تومان از همراه نوین یا 15 میلیون تومان از اینترنت بانک میباشد همچنین از طریق سامانه انتقال وجه آنی{پل} 10 میلیون تومان تعریف شده است. جهت افزایش سقف انتقال وجه میبایست به یکی از شعب بانک مراجعه فرمایید و فرم مربوطه را تکمیل نمایید. همچنین کارت به کارت از همراه نوین یا اینترنت بانک 10 میلیون تومان و از خودپرداز نیز 10 میلیون تومان امکانپذیر میباشد ولی مبلغ کارت به کارت قابل افزایش نیست.
نحوه فعالسازی رمز پویا به چه صورتی میباشد؟,سلام وقتتون بخیر از خودپرداز اقتصاد نوین رمز اینترنتی (رمز دوم ثابت) برای کارت خود تعریف فرمایید سپس رمز پویا به صورت خودکار فعال میشود.
من زمان ثبت چک یکی از مندرجات چک را اشتباه وارد کردم چطور میتوانم ویرایش کنم؟,سلام وقتتون بخیر چک های صیادی ویرایش ندارند ذی نفع چک باید رد چک را در سامانه انجام دهد و شما مجدد چک را ثبت کنید (اگر بار اول از همراه نوین ثبت چک را انجام دادید برای بار دوم باید ابزار ثبت را تغییر دهید و از اینترنت بانک یا آپ یا ... استفاده فرمایید) و چنانچه ذی نفع چک را تایید کرده است باید به شما انتقال دهد و لاشه چک را به شعبه ارائه دهید تا چک از طریق شعبه ابطال شود.
